ADDRESS,VACANT AS OF,WARD,DWELLING TYPE,DISTRICT,SALE REVIEW CATEGORY,CENSUS TRACT,MAP LOCATION
722 CHARLES AVE,04/20/2012 12:00:00 AM,1,Single Family Residential,7,2,32500,"722 CHARLES AVE
St Paul, MN
(44.957513, -93.130635)"
733 CHARLES AVE,01/15/2014 12:00:00 AM,1,Duplex,7,2,32500,"733 CHARLES AVE
St Paul, MN
(44.95751, -93.131161)"
749 CHARLES AVE,05/06/2010 12:00:00 AM,1,Single Family Residential,7,2,32500,"749 CHARLES AVE
St Paul, MN
(44.957509, -93.131933)"
758 CHARLES AVE,10/02/2012 12:00:00 AM,1,Duplex,7,2,32500,"758 CHARLES AVE
St Paul, MN
(44.95751, -93.132236)"
783 CHARLES AVE,04/13/2010 12:00:00 AM,1,Duplex,7,2,32500,"783 CHARLES AVE
St Paul, MN
(44.957511, -93.133164)"
826 CHARLES AVE,05/11/2012 12:00:00 AM,1,Single Family Residential,7,2,32500,"826 CHARLES AVE
St Paul, MN
(44.957516, -93.135075)"
900 CHARLES AVE,05/18/2015 12:00:00 AM,1,Single Family Residential,7,1,32500,"900 CHARLES AVE
St Paul, MN
(44.95752, -93.138142)"
911 CHARLES AVE,03/06/2012 12:00:00 AM,1,Single Family Residential,7,2,32500,"911 CHARLES AVE
St Paul, MN
(44.957521, -93.13857)"
939 CHARLES AVE,03/04/2011 12:00:00 AM,1,Duplex,7,2,32500,"939 CHARLES AVE
St Paul, MN
(44.95752, -93.13988)"
953 CHARLES AVE,09/30/2008 12:00:00 AM,1,Single Family Residential,7,2,32500,"953 CHARLES AVE
St Paul, MN
(44.957519, -93.140356)"
1355 CHARLES AVE,04/15/2014 12:00:00 AM,4,Single Family Residential,11,1,32200,"1355 CHARLES AVE
St Paul, MN
(44.957506, -93.157475)"
904 CHARLOTTE ST,10/23/2013 12:00:00 AM,4,Single Family Residential,11,2,32100,"904 CHARLOTTE ST
St Paul, MN
(44.968306, -93.170478)"
334 CHESTER ST,08/08/2012 12:00:00 AM,2,Commercial,3,2,36100,"334 CHESTER ST
St Paul, MN
(44.936246, -93.072047)"
987 CHURCHILL ST,04/21/2011 12:00:00 AM,5,Duplex,10,2,31200,"987 CHURCHILL ST
St Paul, MN
(44.970932, -93.145514)"
1128 CHURCHILL ST,04/24/2014 12:00:00 AM,5,Single Family Residential,10,1,30300,"1128 CHURCHILL ST
St Paul, MN
(44.975181, -93.145284)"
1216 CHURCHILL ST,02/14/2014 12:00:00 AM,5,Single Family Residential,10,2,30300,"1216 CHURCHILL ST
St Paul, MN
(44.977969, -93.145078)"
275 CLARENCE ST,05/06/2013 12:00:00 AM,7,Single Family Residential,4,2,34601,"275 CLARENCE ST
St Paul, MN
(44.949813, -93.043483)"
308 CLARENCE ST,05/13/2015 12:00:00 AM,7,Single Family Residential,4,1,34601,"308 CLARENCE ST
St Paul, MN
(44.950666, -93.043521)"
1600 CLARENCE ST,05/07/2012 12:00:00 AM,6,Single Family Residential,2,2,30703,"1600 CLARENCE ST
St Paul, MN
(44.989569, -93.043083)"
744 CLARK ST,07/25/2012 12:00:00 AM,5,Single Family Residential,5,2,31500,"744 CLARK ST
St Paul, MN
(44.963614, -93.082404)"
536 CLAY ST,08/27/2013 12:00:00 AM,2,Commercial,9,2,36900,"536 CLAY ST
St Paul, MN
(44.931513, -93.122375)"
650 CLEAR AVE,07/10/2014 12:00:00 AM,6,Single Family Residential,5,1,30602,"650 CLEAR AVE
St Paul, MN
(44.981911, -93.072915)"
1941 CLEAR AVE,08/20/2008 12:00:00 AM,6,Single Family Residential,2,1,30702,"1941 CLEAR AVE
St Paul, MN
(44.982041, -93.018334)"
2030 CLEAR AVE,05/25/2012 12:00:00 AM,6,Single Family Residential,2,1,30702,"2030 CLEAR AVE
St Paul, MN
(44.982021, -93.014478)"
347 CLEVELAND AVE N,05/22/2014 12:00:00 AM,4,Single Family Residential,13,2,33300,"347 CLEVELAND AVE N
St Paul, MN
(44.951669, -93.187349)"
1253 CLEVELAND AVE N,08/05/2004 12:00:00 AM,4,Single Family Residential,12,2,30100,"1253 CLEVELAND AVE N
St Paul, MN
(44.978764, -93.187275)"
223 COLBORNE ST,07/31/2014 12:00:00 AM,2,Single Family Residential,9,1,36900,"223 COLBORNE ST
St Paul, MN
(44.934583, -93.119806)"
1239 COLETTE PLACE,08/24/2012 12:00:00 AM,3,Single Family Residential,15,2,37601,"1239 COLETTE PLACE
St Paul, MN
(44.904091, -93.182737)"
293 COMMERCIAL ST,07/28/2004 12:00:00 AM,7,Commercial,4,2,34400,"293 COMMERCIAL ST
St Paul, MN
(44.952927, -93.073394)"
1508 COMO AVE,07/29/2003 12:00:00 AM,4,Duplex,10,2,30201,"1508 COMO AVE
St Paul, MN
(44.977328, -93.163821)"
2062 COMO AVE,11/09/2001 12:00:00 AM,4,Single Family Residential,12,2,30100,"2062 COMO AVE
St Paul, MN
(44.977059, -93.187489)"
722 CONCORDIA AVE,11/01/2013 12:00:00 AM,1,Single Family Residential,8,3,33500,"722 CONCORDIA AVE
St Paul, MN
(44.951249, -93.130782)"
109 CONGRESS ST W,10/12/2012 12:00:00 AM,2,Duplex,3,2,37100,"109 CONGRESS ST W
St Paul, MN
(44.932237, -93.090205)"
134 CONGRESS ST W,08/12/2014 12:00:00 AM,2,Single Family Residential,3,2,37100,"134 CONGRESS ST W
St Paul, MN
(44.932244, -93.09129)"
272 CONGRESS ST E,06/21/2013 12:00:00 AM,2,Single Family Residential,3,2,36100,"272 CONGRESS ST E
St Paul, MN
(44.931033, -93.072389)"
670 CONWAY ST,05/19/2010 12:00:00 AM,7,Duplex,4,3,34400,"670 CONWAY ST
St Paul, MN
(44.954008, -93.070195)"
689 CONWAY ST,03/02/2015 12:00:00 AM,7,Single Family Residential,4,2,34400,"689 CONWAY ST
St Paul, MN
(44.95459, -93.069003)"
690 CONWAY ST,08/02/2010 12:00:00 AM,7,Single Family Residential,4,2,34400,"690 CONWAY ST
St Paul, MN
(44.954541, -93.069103)"
706 CONWAY ST,11/27/2012 12:00:00 AM,7,Duplex,4,2,34400,"706 CONWAY ST
St Paul, MN
(44.954914, -93.068337)"
845 CONWAY ST,11/10/2009 12:00:00 AM,7,Duplex,4,1,34500,"845 CONWAY ST
St Paul, MN
(44.955802, -93.06492)"
853 CONWAY ST,12/30/2010 12:00:00 AM,7,Single Family Residential,4,2,34500,"853 CONWAY ST
St Paul, MN
(44.955799, -93.064431)"
901 CONWAY ST,04/28/2008 12:00:00 AM,7,Single Family Residential,4,2,34500,"901 CONWAY ST
St Paul, MN
(44.955825, -93.062462)"
1206 CONWAY ST,02/14/2014 12:00:00 AM,7,Single Family Residential,4,1,34601,"1206 CONWAY ST
St Paul, MN
(44.955874, -93.049716)"
1455 CONWAY ST,07/09/2014 12:00:00 AM,7,Single Family Residential,1,1,34602,"1455 CONWAY ST
St Paul, MN
(44.955893, -93.038842)"
1637 CONWAY ST,06/03/2014 12:00:00 AM,7,Single Family Residential,1,2,34602,"1637 CONWAY ST
St Paul, MN
(44.955904, -93.031323)"
115 COOK AVE E,05/20/2013 12:00:00 AM,5,Duplex,6,2,31400,"115 COOK AVE E
St Paul, MN
(44.972888, -93.095599)"
123 COOK AVE W,12/10/2014 12:00:00 AM,5,Single Family Residential,6,2,31400,"123 COOK AVE W
St Paul, MN
(44.972934, -93.105143)"
587 COOK AVE E,10/14/2005 12:00:00 AM,6,Duplex,5,2,31000,"587 COOK AVE E
St Paul, MN
(44.972913, -93.075591)"
668 COOK AVE E,09/11/2012 12:00:00 AM,6,Single Family Residential,5,2,31000,"668 COOK AVE E
St Paul, MN
(44.972957, -93.07229)"
759 COOK AVE E,05/21/2014 12:00:00 AM,6,Single Family Residential,5,2,31000,"759 COOK AVE E
St Paul, MN
(44.972975, -93.068415)"
812 COOK AVE E,07/11/2014 12:00:00 AM,6,Single Family Residential,5,3,31000,"812 COOK AVE E
St Paul, MN
(44.972995, -93.066461)"
1164 COOK AVE E,03/27/2012 12:00:00 AM,6,Single Family Residential,5,2,31600,"1164 COOK AVE E
St Paul, MN
(44.973014, -93.051406)"
1206 COOK AVE E,03/26/2014 12:00:00 AM,6,Single Family Residential,5,2,31600,"1206 COOK AVE E
St Paul, MN
(44.973023, -93.049637)"
302 COTTAGE AVE W,06/12/2014 12:00:00 AM,5,Single Family Residential,6,2,30400,"302 COTTAGE AVE W
St Paul, MN
(44.982824, -93.11287)"
526 COTTAGE AVE E,03/30/2012 12:00:00 AM,5,Duplex,5,2,30601,"526 COTTAGE AVE E
St Paul, MN
(44.982821, -93.078285)"
561 COTTAGE AVE E,01/03/2014 12:00:00 AM,5,Duplex,5,2,30601,"561 COTTAGE AVE E
St Paul, MN
(44.982828, -93.077245)"
656 COTTAGE AVE E,02/07/2014 12:00:00 AM,6,Single Family Residential,5,1,30602,"656 COTTAGE AVE E
St Paul, MN
(44.982886, -93.072786)"
726 COTTAGE AVE E,03/04/2015 12:00:00 AM,6,Single Family Residential,5,1,31000,"726 COTTAGE AVE E
St Paul, MN
(44.98288, -93.069937)"
910 COTTAGE AVE E,12/08/2011 12:00:00 AM,6,Single Family Residential,5,3,30602,"910 COTTAGE AVE E
St Paul, MN
(44.982948, -93.062117)"
1843 COTTAGE AVE E,05/16/2014 12:00:00 AM,6,Single Family Residential,2,2,30702,"1843 COTTAGE AVE E
St Paul, MN
(44.982915, -93.02251)"
2076 COTTAGE AVE E,09/04/2013 12:00:00 AM,6,Single Family Residential,2,2,30702,"2076 COTTAGE AVE E
St Paul, MN
(44.98294, -93.012844)"
1679 CRAIG PLACE,09/05/2012 12:00:00 AM,6,Single Family Residential,2,2,30702,"1679 CRAIG PLACE
St Paul, MN
(44.991805, -93.021352)"
136 CURTICE ST E,03/25/2013 12:00:00 AM,2,Duplex,3,2,37200,"136 CURTICE ST E
St Paul, MN
(44.923096, -93.079599)"
168 CURTICE ST E,08/12/2014 12:00:00 AM,2,Single Family Residential,3,2,37200,"168 CURTICE ST E
St Paul, MN
(44.923091, -93.078233)"
265 CURTICE ST W,08/29/2014 12:00:00 AM,2,Single Family Residential,3,1,37000,"265 CURTICE ST W
St Paul, MN
(44.922694, -93.096807)"
349 CURTICE ST E,07/16/2013 12:00:00 AM,2,Single Family Residential,3,3,37200,"349 CURTICE ST E
St Paul, MN
(44.923078, -93.070675)"
421 CURTICE ST W,12/19/2012 12:00:00 AM,2,Duplex,3,2,37000,"421 CURTICE ST W
St Paul, MN
(44.922643, -93.102953)"
474 CURTICE ST E,03/29/2008 12:00:00 AM,2,Single Family Residential,3,2,37200,"474 CURTICE ST E
St Paul, MN
(44.923051, -93.065746)"
583 DALE ST N,05/07/2013 12:00:00 AM,1,Duplex,7,2,32500,"583 DALE ST N
St Paul, MN
(44.958802, -93.12637)"
605 DALE ST N,05/08/2015 12:00:00 AM,1,Mixed Use,7,3,32500,"605 DALE ST N
St Paul, MN
(44.959605, -93.126382)"
661 DALE ST N,02/26/2013 12:00:00 AM,1,Mixed Use,7,2,32400,"661 DALE ST N
St Paul, MN
(44.961302, -93.126319)"
1489 DALE ST N,01/06/2015 12:00:00 AM,5,Single Family Residential,10,2,30300,"1489 DALE ST N
St Paul, MN
(44.985993, -93.12619)"
1628 DARLENE ST,11/05/2013 12:00:00 AM,6,Single Family Residential,2,2,30702,"1628 DARLENE ST
St Paul, MN
(44.990488, -93.018859)"
1203 DAVERN ST,08/13/2014 12:00:00 AM,3,Single Family Residential,15,2,37500,"1203 DAVERN ST
St Paul, MN
(44.905136, -93.172122)"
714 DAYTON AVE,03/23/2015 12:00:00 AM,1,Duplex,8,1,33900,"714 DAYTON AVE
St Paul, MN
(44.947414, -93.130277)"
956 DAYTON AVE,03/25/2014 12:00:00 AM,1,Single Family Residential,8,2,33800,"956 DAYTON AVE
St Paul, MN
(44.947442, -93.140503)"
997 DAYTON AVE,10/03/2013 12:00:00 AM,1,Single Family Residential,8,2,33800,"997 DAYTON AVE
St Paul, MN
(44.947449, -93.142273)"
1171 DAYTON AVE,01/05/2012 12:00:00 AM,1,Single Family Residential,13,2,35300,"1171 DAYTON AVE
St Paul, MN
(44.947456, -93.14977)"
1332 DAYTON AVE,03/12/2012 12:00:00 AM,1,Single Family Residential,13,2,35300,"1332 DAYTON AVE
St Paul, MN
(44.947488, -93.156386)"
1336 DAYTON AVE,10/02/2014 12:00:00 AM,1,Duplex,13,2,35300,"1336 DAYTON AVE
St Paul, MN
(44.94749, -93.156577)"
1910 DAYTON AVE,03/03/2015 12:00:00 AM,4,Duplex,13,1,35000,"1910 DAYTON AVE
St Paul, MN
(44.947255, -93.181129)"
2092 DAYTON AVE,06/24/2014 12:00:00 AM,4,Single Family Residential,13,2,34900,"2092 DAYTON AVE
St Paul, MN
(44.947275, -93.188799)"
46 DELOS ST W,03/14/2013 12:00:00 AM,2,Single Family Residential,3,2,37100,"46 DELOS ST W
St Paul, MN
(44.933966, -93.087376)"
521 DESNOYER AVE,02/05/2007 12:00:00 AM,4,Duplex,13,1,43000,"521 DESNOYER AVE
St Paul, MN
(44.9554, -93.203179)"
656 DESOTO ST,09/06/2012 12:00:00 AM,5,Single Family Residential,5,2,33000,"656 DESOTO ST
St Paul, MN
(44.960926, -93.081071)"
693 DESOTO ST,10/11/2012 12:00:00 AM,5,Single Family Residential,5,2,33000,"693 DESOTO ST
St Paul, MN
(44.962076, -93.081058)"
698 DESOTO ST,03/02/2012 12:00:00 AM,5,Duplex,5,2,33000,"698 DESOTO ST
St Paul, MN
(44.962277, -93.081055)"
895 DESOTO ST,03/07/2003 12:00:00 AM,5,Duplex,5,2,31500,"895 DESOTO ST
St Paul, MN
(44.9682, -93.081171)"
943 DESOTO ST,12/28/2012 12:00:00 AM,5,Single Family Residential,5,2,31500,"943 DESOTO ST
St Paul, MN
(44.969572, -93.081161)"
1372 DESOTO ST,05/01/2015 12:00:00 AM,5,Single Family Residential,5,0,30601,"1372 DESOTO ST
St Paul, MN
(44.982401, -93.081136)"
1426 DESOTO ST,06/03/2014 12:00:00 AM,5,Single Family Residential,5,2,30601,"1426 DESOTO ST
St Paul, MN
(44.984096, -93.081157)"
1519 DIETER ST,06/20/2014 12:00:00 AM,6,Single Family Residential,2,2,30703,"1519 DIETER ST
St Paul, MN
(44.987176, -93.036754)"
29 DOUGLAS ST,02/12/2014 12:00:00 AM,2,Single Family Residential,9,2,35900,"29 DOUGLAS ST
St Paul, MN
(44.940599, -93.111016)"
47 DOUGLAS ST,09/16/2009 12:00:00 AM,2,Single Family Residential,9,2,35900,"47 DOUGLAS ST
St Paul, MN
(44.939941, -93.111025)"
118 DOUGLAS ST,09/24/2012 12:00:00 AM,2,Single Family Residential,9,2,36000,"118 DOUGLAS ST
St Paul, MN
(44.93794, -93.111028)"
1180 DULUTH ST,01/12/2015 12:00:00 AM,6,Single Family Residential,5,2,31100,"1180 DULUTH ST
St Paul, MN
(44.976898, -93.05072)"
1584 DULUTH ST,09/26/2014 12:00:00 AM,6,Single Family Residential,5,1,30602,"1584 DULUTH ST
St Paul, MN
(44.989217, -93.049455)"
418 EARL ST,08/07/2012 12:00:00 AM,7,Single Family Residential,4,2,34601,"418 EARL ST
St Paul, MN
(44.953898, -93.055753)"
908 EARL ST,09/27/2013 12:00:00 AM,6,Single Family Residential,5,2,31600,"908 EARL ST
St Paul, MN
(44.968741, -93.055844)"
943 EARL ST,11/04/2008 12:00:00 AM,6,Single Family Residential,5,2,31600,"943 EARL ST
St Paul, MN
(44.969834, -93.055824)"
1044 EARL ST,03/25/2014 12:00:00 AM,6,Single Family Residential,5,1,31600,"1044 EARL ST
St Paul, MN
(44.972783, -93.055803)"
1068 EARL ST,01/04/2013 12:00:00 AM,6,Duplex,5,2,31600,"1068 EARL ST
St Paul, MN
(44.973572, -93.055793)"
755 EDGERTON ST,06/25/2014 12:00:00 AM,5,Duplex,5,2,31500,"755 EDGERTON ST
St Paul, MN
(44.963991, -93.076085)"
1181 EDGERTON ST,10/08/2014 12:00:00 AM,5,Duplex,5,3,30900,"1181 EDGERTON ST
St Paul, MN
(44.976828, -93.07607)"
1349 EDGERTON ST,09/25/2014 12:00:00 AM,5,Single Family Residential,5,2,30601,"1349 EDGERTON ST
St Paul, MN
(44.981906, -93.076109)"
1463 EDGERTON ST,09/12/2012 12:00:00 AM,5,Single Family Residential,5,2,30601,"1463 EDGERTON ST
St Paul, MN
(44.985265, -93.07614)"
1487 EDGERTON ST,06/30/2014 12:00:00 AM,5,Single Family Residential,5,2,30601,"1487 EDGERTON ST
St Paul, MN
(44.986051, -93.076159)"
1065 EDGEWATER BLVD,07/23/2010 12:00:00 AM,6,Single Family Residential,2,1,31802,"1065 EDGEWATER BLVD
St Paul, MN
(44.973484, -93.009277)"
1165 EDGEWATER BLVD,05/15/2009 12:00:00 AM,6,Single Family Residential,2,1,31802,"1165 EDGEWATER BLVD
St Paul, MN
(44.975901, -93.00825)"
305 EDMUND AVE,05/24/2013 12:00:00 AM,1,Single Family Residential,7,2,32700,"305 EDMUND AVE
St Paul, MN
(44.958484, -93.112811)"
309 EDMUND AVE,06/19/2014 12:00:00 AM,1,Duplex,7,2,32700,"309 EDMUND AVE
St Paul, MN
(44.958483, -93.113005)"
318 EDMUND AVE,10/04/2012 12:00:00 AM,1,Single Family Residential,7,2,32700,"318 EDMUND AVE
St Paul, MN
(44.958481, -93.113628)"
406 EDMUND AVE,09/13/2012 12:00:00 AM,1,Single Family Residential,7,2,32600,"406 EDMUND AVE
St Paul, MN
(44.958458, -93.117309)"
430 EDMUND AVE,08/27/2014 12:00:00 AM,1,Single Family Residential,7,2,32600,"430 EDMUND AVE
St Paul, MN
(44.958457, -93.118242)"
561 EDMUND AVE,10/01/2007 12:00:00 AM,1,Single Family Residential,7,2,32600,"561 EDMUND AVE
St Paul, MN
(44.95845, -93.123987)"
614 EDMUND AVE,03/19/2009 12:00:00 AM,1,Duplex,7,2,32600,"614 EDMUND AVE
St Paul, MN
(44.958436, -93.125996)"
648 EDMUND AVE,06/11/2013 12:00:00 AM,1,Single Family Residential,7,2,32500,"648 EDMUND AVE
St Paul, MN
(44.958431, -93.127632)"
671 EDMUND AVE,07/12/2013 12:00:00 AM,1,Single Family Residential,7,2,32500,"671 EDMUND AVE
St Paul, MN
(44.958429, -93.128425)"
723 EDMUND AVE,09/27/2013 12:00:00 AM,1,Duplex,7,2,32500,"723 EDMUND AVE
St Paul, MN
(44.958421, -93.130642)"
764 EDMUND AVE,07/23/2014 12:00:00 AM,1,Single Family Residential,7,2,32500,"764 EDMUND AVE
St Paul, MN
(44.958415, -93.132489)"
782 EDMUND AVE,02/26/2015 12:00:00 AM,1,Duplex,7,2,32500,"782 EDMUND AVE
St Paul, MN
(44.958416, -93.133223)"
806 EDMUND AVE,12/05/2008 12:00:00 AM,1,Duplex,7,3,32500,"806 EDMUND AVE
St Paul, MN
(44.958421, -93.134308)"
873 EDMUND AVE,02/03/2012 12:00:00 AM,1,Single Family Residential,7,2,32500,"873 EDMUND AVE
St Paul, MN
(44.958427, -93.137045)"
884 EDMUND AVE,12/17/2013 12:00:00 AM,1,Single Family Residential,7,2,32500,"884 EDMUND AVE
St Paul, MN
(44.958426, -93.137512)"
928 EDMUND AVE,01/25/2012 12:00:00 AM,1,Single Family Residential,7,2,32500,"928 EDMUND AVE
St Paul, MN
(44.958422, -93.139394)"
930 EDMUND AVE,03/18/2014 12:00:00 AM,1,Single Family Residential,7,2,32500,"930 EDMUND AVE
St Paul, MN
(44.958423, -93.139589)"
1438 EDMUND AVE,12/05/2013 12:00:00 AM,4,Duplex,11,3,32200,"1438 EDMUND AVE
St Paul, MN
(44.958372, -93.160951)"
1606 EDMUND AVE,06/25/2014 12:00:00 AM,4,Duplex,11,2,32100,"1606 EDMUND AVE
St Paul, MN
(44.958372, -93.16814)"
25 ELIZABETH ST E,12/17/2014 12:00:00 AM,2,Single Family Residential,3,2,37200,"25 ELIZABETH ST E
St Paul, MN
(44.927143, -93.084122)"
27 EMPIRE DRIVE,02/04/2013 12:00:00 AM,1,Commercial,7,3,42800,"27 EMPIRE DRIVE
St Paul, MN
(44.96193, -93.099754)"
833 ENGLEWOOD AVE,02/02/2012 12:00:00 AM,1,Single Family Residential,7,2,32400,"833 ENGLEWOOD AVE
St Paul, MN
(44.963889, -93.13529)"
1267 ENGLEWOOD AVE,06/19/2006 12:00:00 AM,4,Single Family Residential,11,2,32300,"1267 ENGLEWOOD AVE
St Paul, MN
(44.963841, -93.153614)"
1626 ENGLEWOOD AVE,08/16/2007 12:00:00 AM,4,Multi-family Residential,11,2,32100,"1626 ENGLEWOOD AVE
St Paul, MN
(44.96405, -93.169069)"
275 ERIE ST,11/06/2013 12:00:00 AM,2,Multi-family Residential,9,2,36900,"275 ERIE ST
St Paul, MN
(44.933017, -93.121963)"
289 ETNA ST,02/25/2014 12:00:00 AM,7,Single Family Residential,4,2,34601,"289 ETNA ST
St Paul, MN
(44.950166, -93.041473)"
1537 ETNA ST,01/28/2011 12:00:00 AM,6,Single Family Residential,2,2,30703,"1537 ETNA ST
St Paul, MN
(44.987654, -93.041843)"
720 EUCLID ST,12/31/2014 12:00:00 AM,7,Single Family Residential,4,1,34400,"720 EUCLID ST
St Paul, MN
(44.954152, -93.066233)"
1050 EUCLID ST,12/02/2014 12:00:00 AM,7,Single Family Residential,4,2,34500,"1050 EUCLID ST
St Paul, MN
(44.954953, -93.056269)"
1555 EUCLID ST,05/06/2015 12:00:00 AM,7,Single Family Residential,1,2,34602,"1555 EUCLID ST
St Paul, MN
(44.954864, -93.034812)"
1976 FAIRMOUNT AVE,11/06/2014 12:00:00 AM,4,Single Family Residential,14,1,34900,"1976 FAIRMOUNT AVE
St Paul, MN
(44.937032, -93.183845)"
175 FAIRVIEW AVE N,11/07/2014 12:00:00 AM,4,Duplex,13,2,35000,"175 FAIRVIEW AVE N
St Paul, MN
(44.946602, -93.177179)"
733 FAIRVIEW AVE N,09/04/2014 12:00:00 AM,4,Single Family Residential,11,2,32000,"733 FAIRVIEW AVE N
St Paul, MN
(44.963253, -93.177218)"
2253 FALCON AVE,08/07/2013 12:00:00 AM,7,Single Family Residential,1,2,37403,"2253 FALCON AVE
St Paul, MN
(44.936903, -93.005343)"
540 FARRINGTON ST,04/24/2015 12:00:00 AM,1,Single Family Residential,7,2,32700,"540 FARRINGTON ST
St Paul, MN
(44.957427, -93.113427)"
997 FARRINGTON ST,12/29/2011 12:00:00 AM,5,Duplex,6,2,30800,"997 FARRINGTON ST
St Paul, MN
(44.971423, -93.113568)"
1023 FARRINGTON ST,06/06/2012 12:00:00 AM,5,Single Family Residential,6,2,30800,"1023 FARRINGTON ST
St Paul, MN
(44.972217, -93.113571)"
1147 FARRINGTON ST,06/13/2013 12:00:00 AM,5,Single Family Residential,6,2,30800,"1147 FARRINGTON ST
St Paul, MN
(44.975778, -93.113551)"
50 FILLMORE AVE E,02/26/2008 12:00:00 AM,2,Commercial,3,2,37100,"50 FILLMORE AVE E
St Paul, MN
(44.940887, -93.086009)"
869 FLANDRAU ST,08/30/2013 12:00:00 AM,6,Single Family Residential,2,2,31801,"869 FLANDRAU ST
St Paul, MN
(44.967432, -93.027842)"
251 FORBES AVE,01/27/2015 12:00:00 AM,2,Single Family Residential,9,1,35900,"251 FORBES AVE
St Paul, MN
(44.940113, -93.110467)"
280 FORBES AVE,04/15/2008 12:00:00 AM,2,Duplex,9,2,35900,"280 FORBES AVE
St Paul, MN
(44.940436, -93.111873)"
284 FORBES AVE,04/05/2006 12:00:00 AM,2,Single Family Residential,9,2,35900,"284 FORBES AVE
St Paul, MN
(44.940436, -93.112019)"
286 FORBES AVE,07/14/2009 12:00:00 AM,2,Single Family Residential,9,2,35900,"286 FORBES AVE
St Paul, MN
(44.940435, -93.112159)"
288 FORBES AVE,11/13/2007 12:00:00 AM,2,Multi-family Residential,9,3,35900,"288 FORBES AVE
St Paul, MN
(44.940435, -93.112334)"
1294 FOREST ST,10/06/2014 12:00:00 AM,6,Single Family Residential,5,2,31100,"1294 FOREST ST
St Paul, MN
(44.980384, -93.060889)"
715 FRANK ST,07/13/2012 12:00:00 AM,7,Single Family Residential,4,2,31701,"715 FRANK ST
St Paul, MN
(44.962768, -93.053326)"
951 FRANK ST,07/11/2012 12:00:00 AM,6,Single Family Residential,5,2,31600,"951 FRANK ST
St Paul, MN
(44.969979, -93.053323)"
1018 FREMONT AVE,10/31/2014 12:00:00 AM,7,Single Family Residential,4,1,34500,"1018 FREMONT AVE
St Paul, MN
(44.957659, -93.057561)"
1022 FREMONT AVE,07/21/2009 12:00:00 AM,7,Single Family Residential,4,2,34500,"1022 FREMONT AVE
St Paul, MN
(44.957659, -93.057422)"
2021 FREMONT AVE,09/29/2014 12:00:00 AM,7,Single Family Residential,1,2,34702,"2021 FREMONT AVE
St Paul, MN
(44.957651, -93.015091)"
36 FRONT AVE,06/03/2013 12:00:00 AM,1,Duplex,6,2,31400,"36 FRONT AVE
St Paul, MN
(44.970279, -93.101795)"
42 FRONT AVE,04/26/2013 12:00:00 AM,1,Duplex,6,2,31400,"42 FRONT AVE
St Paul, MN
(44.97028, -93.101932)"
55 FRONT AVE,06/11/2012 12:00:00 AM,5,Single Family Residential,6,2,31400,"55 FRONT AVE
St Paul, MN
(44.970285, -93.102529)"
63 FRONT AVE,01/14/2015 12:00:00 AM,5,Duplex,6,1,31400,"63 FRONT AVE
St Paul, MN
(44.970287, -93.102792)"
95 FRONT AVE,02/02/2015 12:00:00 AM,5,Single Family Residential,6,1,31400,"95 FRONT AVE
St Paul, MN
(44.970296, -93.104002)"
204 FRONT AVE,08/29/2014 12:00:00 AM,1,Single Family Residential,6,2,31300,"204 FRONT AVE
St Paul, MN
(44.970211, -93.108814)"
318 FRONT AVE,10/02/2014 12:00:00 AM,1,Single Family Residential,6,2,31300,"318 FRONT AVE
St Paul, MN
(44.970201, -93.113271)"
336 FRONT AVE,09/28/2011 12:00:00 AM,1,Single Family Residential,6,2,31300,"336 FRONT AVE
St Paul, MN
(44.970196, -93.114415)"
398 FRONT AVE,04/02/2015 12:00:00 AM,1,Single Family Residential,6,3,31300,"398 FRONT AVE
St Paul, MN
(44.970181, -93.116927)"
402 FRONT AVE,04/02/2015 12:00:00 AM,1,Single Family Residential,6,3,31300,"402 FRONT AVE
St Paul, MN
(44.970178, -93.117154)"
605 FRONT AVE,11/14/2014 12:00:00 AM,5,Commercial,6,2,31300,"605 FRONT AVE
St Paul, MN
(44.970172, -93.125601)"
1062 FRONT AVE,02/08/2006 12:00:00 AM,1,Duplex,10,2,31200,"1062 FRONT AVE
St Paul, MN
(44.970224, -93.145114)"
390 FRY ST,10/04/2013 12:00:00 AM,4,Duplex,13,3,33400,"390 FRY ST
St Paul, MN
(44.953016, -93.169614)"
402 FRY ST,02/06/2015 12:00:00 AM,4,Single Family Residential,13,2,33400,"402 FRY ST
St Paul, MN
(44.953338, -93.169613)"
419 FRY ST,03/24/2009 12:00:00 AM,4,Single Family Residential,13,2,33400,"419 FRY ST
St Paul, MN
(44.953873, -93.169612)"
630 FULLER AVE,12/22/2014 12:00:00 AM,1,Single Family Residential,8,1,33500,"630 FULLER AVE
St Paul, MN
(44.953933, -93.126848)"
745 FULLER AVE,08/26/2013 12:00:00 AM,1,Single Family Residential,8,2,33500,"745 FULLER AVE
St Paul, MN
(44.953938, -93.131743)"
795 FULLER AVE,04/24/2012 12:00:00 AM,1,Single Family Residential,8,2,33500,"795 FULLER AVE
St Paul, MN
(44.953935, -93.133807)"
844 FULLER AVE,06/07/2013 12:00:00 AM,1,Single Family Residential,8,2,33500,"844 FULLER AVE
St Paul, MN
(44.953925, -93.135816)"
